region.centroid.col,region.centroid.row,region.pixel.count,short.line.density.5,short.line.density.2,vedge.mean,vegde.sd,hedge.mean,hedge.sd,intensity.mean,rawred.mean,rawblue.mean,rawgreen.mean,exred.mean,exblue.mean,exgreen.mean,value.mean,saturation.mean,hue.mean,class
(193.5; Inf],(160.5;210.5],9,(0.0555555; Inf],[-Inf;0.0555555],(0.7222225;1.250005],(0.2074075;0.6438355],(0.5000005;1.36111],(0.3470235;0.964527],(47.22225;63.57405],(41.94445;56.3333],(57.5;77.8889],(36.05555;55.83335],(-22.27775;-13.94445],(46.61115; Inf],(-25.72225;-20.5],(57.5;77.8889],(0.2749175;0.321112],(-2.08594;-1.86573],path
[-Inf;151.5],(129.5;147.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(0.1944435;0.3333345],(0.2074075;0.6438355],(0.2777785;0.5000005],(0.3470235;0.964527],(0.1296295;3.72222],[-Inf;3.944445],(0.0555555;3.944445],[-Inf;0.1666665],(-3.166665;-1.277775],(1.166665;5.388885],(-6.277775;-0.0555555],(0.0555555;5.166665],(0.7169145; Inf],(-2.20746;-2.08594],foliage
(193.5; Inf],[-Inf;54.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(0.7222225;1.250005],(0.6438355;1.496295],(0.5000005;1.36111],(0.964527;1.59132],(82.9815; Inf],(67.2778; Inf],(101.7777; Inf],(71.27775; Inf],[-Inf;-30.27775],(46.61115; Inf],(-17.83335;-13.72225],(101.7777; Inf],(0.117533;0.247783],(-2.41102;-2.245545],sky
[-Inf;151.5],(160.5;210.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(1.250005;2.527775],(1.496295;7.75185],(5.47222;19.3611],(1.59132;11.57775],(31.8889;47.22225],(26.2222;41.94445],(43.83335;57.5],(36.05555;55.83335],(-13.94445;-10.83335],(21.16665;28.72225],(-17.83335;-13.72225],(43.83335;57.5],(0.247783;0.2749175],(-2.08594;-1.86573],path
[-Inf;151.5],(160.5;210.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(1.250005;2.527775],(1.496295;7.75185],(2.055555;3.416665],(1.59132;11.57775],(47.22225;63.57405],(41.94445;56.3333],(57.5;77.8889],(36.05555;55.83335],(-22.27775;-13.94445],(28.72225;42.16665],(-20.5;-17.83335],(57.5;77.8889],(0.2749175;0.321112],(-2.08594;-1.86573],path
[-Inf;151.5],(160.5;210.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(1.250005;2.527775],(0.6438355;1.496295],(2.055555;3.416665],(1.59132;11.57775],(47.22225;63.57405],(41.94445;56.3333],(57.5;77.8889],(36.05555;55.83335],(-13.94445;-10.83335],(28.72225;42.16665],(-20.5;-17.83335],(57.5;77.8889],(0.2749175;0.321112],(-2.08594;-1.86573],path
[-Inf;151.5],(81.5;116.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(0.3333345;0.7222225],(0.2074075;0.6438355],(0.5000005;1.36111],(0.02962965;0.3470235],(4.48148;6.7963],(6.388885;8.611115],(6.166665;8.833335],(2.722225;4.166665],(0.0555555; Inf],(1.166665;5.388885],(-8.5;-6.277775],(6.5;8.5],(0.5243995;0.6216975],(-1.51262;-0.28793347],brickface
[-Inf;151.5],(72.5;81.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(6.63889;21.86115],(7.75185; Inf],(5.47222;19.3611],(11.57775;241.335],(19.9074;28.75925],(9.611115;15.61115],(26.27775;36.27775],(16.94445;22.16665],(-22.27775;-13.94445],(21.16665;28.72225],(-6.277775;-0.0555555],(28.38885;36.27775],(0.5243995;0.6216975],[-Inf;-2.41102],foliage
[-Inf;151.5],(81.5;116.5],9,(0.0555555; Inf],[-Inf;0.0555555],(2.527775;4.083335],(7.75185; Inf],(3.416665;5.47222],(1.59132;11.57775],(19.9074;28.75925],(18.16665;26.2222],(26.27775;36.27775],(12.38885;16.94445],(-3.166665;-1.277775],(16.72225;21.16665],(-17.83335;-13.72225],(20.72225;28.38885],(0.3629445;0.447372],(-1.795415;-1.51262],brickface
(193.5; Inf],(147.5;155.5],9,[-Inf;0.0555555],[-Inf;0.0555555],(0.1944435;0.3333345],(0.02962985;0.2074075],[-Inf;0.2777785],[-Inf;0.02962965],(0.1296295;3.72222],[-Inf;3.944445],(0.0555555;3.944445],[-Inf;0.1666665],(-1.277775;0.0555555],(1.166665;5.388885],(-6.277775;-0.0555555],(0.0555555;5.166665],(0.7169145; Inf],(-2.20746;-2.08594],window
