sepallength:=:(5.55; Inf],sepallength:=:[-Inf;5.55],sepalwidth:=:(3.05; Inf],sepalwidth:=:[-Inf;3.05],petallength:=:(2.45;4.75],petallength:=:(4.75; Inf],petallength:=:[-Inf;2.45],petalwidth:=:(0.75;1.75],petalwidth:=:(1.75; Inf],petalwidth:=:[-Inf;0.75],class:=:Iris-setosa,class:=:Iris-versicolor,class:=:Iris-virginica
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0,0,1,1,0,0
1,0,1,0,1,0,0,1,0,0,0,1,0
1,0,1,0,1,0,0,1,0,0,0,1,0
1,0,1,0,0,1,0,1,0,0,0,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0
1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,1,0,1,0,0,1,0,0,0,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0
1,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0
