sepallength:=:(5.55;6.15],sepallength:=:(6.15; Inf],sepallength:=:[-Inf;5.55],sepalwidth:=:(2.95;3.35],sepalwidth:=:(3.35; Inf],sepalwidth:=:[-Inf;2.95],petallength:=:(2.45;4.75],petallength:=:(4.75; Inf],petallength:=:[-Inf;2.45],petalwidth:=:(0.8;1.75],petalwidth:=:(1.75; Inf],petalwidth:=:[-Inf;0.8],class:=:Iris-setosa,class:=:Iris-versicolor,class:=:Iris-virginica
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
1,0,0,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
